,origin,originId,target,targetId,movie,song
0,time,0,love,1,Aladdin: The Return of Jafar,Forget About Love
1,time,0,love,1,Beauty and the Beast,Human Again
2,time,0,love,1,Beauty and the Beast (live-action),How Does a Moment Last Forever
3,time,0,love,1,Beauty and the Beast (live-action),How Does a Moment Last Forever (Music Box)
4,time,0,love,1,Beauty and the Beast: The Enchanted Christmas,As Long as There's Christmas
5,time,0,love,1,Beauty and the Beast: The Enchanted Christmas,As Long as There's Christmas (Reprise)
6,time,0,love,1,Beauty and the Beast: The Enchanted Christmas,Don't Fall in Love
7,time,0,love,1,Brother Bear,Welcome
8,time,0,love,1,Brother Bear 2,It Will Be Me
9,time,0,love,1,Camp Rock,Hasta La Vista
10,time,0,love,1,Camp Rock 2: The Final Jam,Introducing Me
11,time,0,love,1,Cars,Our Town
12,time,0,love,1,Cinderella III: A Twist in Time,More Than a Dream
13,time,0,love,1,Cinderella III: A Twist in Time,Perfectly Perfect
14,time,0,love,1,Coco,Remember Me (Dúo)
15,time,0,love,1,Disney's Descendants,Good Is the New Bad
16,time,0,love,1,Descendants 3,Break This Down
17,time,0,love,1,Descendants 3,VK Mashup
18,time,0,love,1,Elena of Avalor,Festival of Love
19,time,0,love,1,Frozen,For the First Time in Forever
20,time,0,love,1,Frozen 2,Some Things Never Change
21,time,0,love,1,Fun and Fancy Free,Say it With a Slap
22,time,0,love,1,A Goofy Movie,I 2 I
23,time,0,love,1,High School Musical 2,Humu humu nuku nuku a pua'a
24,time,0,love,1,High School Musical 2,What Time Is It?
25,time,0,love,1,High School Musical 3: Senior Year,A Night to Remember
26,time,0,love,1,High School Musical 3: Senior Year,Scream
27,time,0,love,1,High School Musical: The Musical: The Series,"I Think I Kinda, You Know (Duet)"
28,time,0,love,1,High School Musical: The Musical: The Series,"I Think I Kinda, You Know (Nini Version)"
29,time,0,love,1,High School Musical: The Musical: The Series,"I Think I Kinda, You Know (Ricky Version)"
30,time,0,love,1,High School Musical: The Musical: The Series,Just For a Moment
