,compound,Movie
Cinderella III: A Twist In Time,0.96424,CINDERELLA III: A TWIST IN TIME
Bambi,0.967466667,BAMBI
Beauty and the Beast,0.97496,BEAUTY AND THE BEAST
The Emperor's New Groove,0.977866667,THE EMPEROR'S NEW GROOVE
Elena of Avalor,0.978533333,ELENA OF AVALOR
Enchanted,0.97922,ENCHANTED
Aladdin and the King of Thieves,0.98248,ALADDIN AND THE KING OF THIEVES
The Little Mermaid 2: Return to the Sea,0.98855,THE LITTLE MERMAID 2: RETURN TO THE SEA
Planes,0.990533333,PLANES
Sofia the First: The Floating Palace,0.99715,SOFIA THE FIRST: THE FLOATING PALACE
