,movie,year
0,Pinocchio (Live-Action),Unknown
1,Kim Possible,TBA
2,TRON 3,Stalled
3,Enchanted 2,DEV
4,Tink,DEV
5,Gigantic,2020
6,Jungle Cruise,2020
7,Frozen 2,2019
8,Dumbo (Live-Action),2019
9,Descendants 3,2019
10,Mulan (Live-Action),2019
11,Toy Story 4,2019
12,The Lion King,2019
13,Aladdin,2019
14,Mary Poppins Returns,2018
15,Magic Camp,2018
16,Cruella (Live-Action),2018
17,Wreck-It Ralph 2: Ralph Breaks the Internet,2018
18,Freaky Friday,2018
19,A Wrinkle in Time,2018
20,Zombies,2018
21,Incredibles 2,2018
22,Cars 3,2017
23,Beauty and the Beast,2017
24,Coco,2017
25,Descendants 2,2017
26,Tangled: Before Ever After,2017
27,Pirates of the Caribbean: Dead Men Tell No Tales,2017
28,Zootopia,2016
29,Jungle Book,2016
30,Adventures in Babysitting,2016
31,Alice Through the Looking Glass,2016
32,The Swap,2016
33,Finding Dory,2016
34,Pete's Dragon,2016
35,The Finest Hours,2016
36,Queen of Katwe,2016
37,The BFG,2016
38,Moana,2016
39,Inside Out,2015
40,Bad Hair Day,2015
41,Descendants,2015
42,The Good Dinosaur,2015
43,Tinkerbell and the Legend of the Neverbeast,2015
44,Tomorrowland,2015
45,Cinderella,2015
46,Teen Beach Movie 2,2015
47,Million Dollar Arm,2014
48,Planes: Fire Rescue,2014
49,How To Build A Better Boy,2014
50,"McFarland, USA",2014
51,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
52,The Pirate Fairy,2014
53,Big Hero 6,2014
54,Muppets: Most Wanted,2014
55,Cloud 9,2014
56,Zapped,2014
57,Maleficent,2014
58,Into The Woods,2014
59,Saving Mr. Banks,2013
60,Frozen,2013
61,Oz: The Great and Powerful,2013
62,Planes,2013
63,Super Buddies,2013
64,Monsters University,2013
65,Teen Beach Movie,2013
66,Lone Ranger,2013
67,Wreck-It Ralph,2012
68,Frenemies,2012
69,The Secret World of Arrietty,2012
70,Let It Shine,2012
71,Radio Rebel,2012
72,Santa Paws 2: The Santa Pups,2012
73,Girl vs. Monster,2012
74,Beverly Hills Chihuahua 3: Viva La Fiesta!,2012
75,Tinker Bell: Secret of the Wings,2012
76,Sofia the First: Once Upon a Princess,2012
77,Treasure Buddies,2012
78,Frankenweenie,2012
79,John Carter,2012
80,The Odd Life of Timothy Green ,2012
81,Brave,2012
